,NI,DEA,BP,DP,CFP,GPM,ROA,MACD,currentratio,RD,RSI,net_operating_cash_flow,Profit_G_q,asset_turnover,financial_leverage,ROE,Sales_G_q,EP,cashratio,CMV,debtequityratio,DIF,SP,return,label
000778.XSHE,-0.5211889736866537,-0.16925960909546514,-0.1888424121652523,2.041791330379374,1.2289399275498794,-0.6249846782928755,-0.351283406428729,0.9688303524269335,-0.4082947313785504,-0.2161448307133699,-0.11643330889320846,1.3895560661679023,0.006336124514284882,0.47267541870441016,-0.36461215084542603,-0.4598296550311304,0.5377734466578162,-0.17245627338261116,0.9113832456419436,-0.41784600274557177,-1.1221705528453323,0.6327811520878075,1.2661615507323931,0.21962616822429903,1
000652.XSHE,-0.34744675739273856,2.0376056851852926,-1.1483129628311912,2.095061761420424,-0.20990987989574506,-0.9343844632878827,-0.30556075137977184,-0.5438395568754076,-0.552831894201797,-2.114300495275834,-0.2514788196285074,1.8922300980765123,1.1066459144287153,-0.6368898505424523,-0.13241880147683385,0.08720686161729124,1.7077979830440768,-0.6570762135672147,1.0948757138272147,-0.10777203732879165,0.25459607758507713,1.5507026794988834,-0.8105452637200757,0.09456740442655942,-1
600196.XSHG,1.2056831268626111,0.9627914068503749,-0.6448091029654093,-0.25358184402946876,-0.22102729432631982,-0.5049087709302027,1.2413444443048478,1.8169026818447986,-0.9711638458872307,-2.519832929975127,0.05946022271693311,0.1182220144746716,1.2747859352110857,-0.6357019969567873,-0.5618770558936449,0.8636022901306508,-0.7638195777442708,0.6222214996395654,-0.9709956038678871,-0.20459368009437942,-0.003607485566614591,1.4229937392923973,-0.3632980734090874,0.0941558441558441,-1
002142.XSHE,0.6625373116474462,0.2277837135910921,-0.29148342827895996,-0.21833472140774599,2.3464602578624776,0.17741013419237572,-0.6459961877039353,0.340744471713542,-0.329811126566152,-0.2204341606351337,-0.31019529623299796,2.02116625259887,-0.20340186483194098,-0.2543983136352323,0.2862063929493665,-0.4534586734548148,0.34805288773680704,-0.20916204247308853,-0.032578121498314176,-0.6945470850701149,-0.24199195918281702,0.5915808288105308,-0.31492333984958404,0.09324758842443726,-1
000423.XSHE,0.3120930441547224,-1.1822999469287587,-0.9887388716550911,0.7753772914072921,-0.28142563231740864,0.42907837423504047,1.7415315179104867,-1.8134227790771666,1.3928137964400082,-0.7386046214892532,-0.9467143386235577,0.1874032109789663,-0.10552691152145616,0.4447946094521528,-0.8927207069908477,0.4712736968553278,0.2725234674720497,-0.030125314336413047,-2.275997440939216,-0.31473367500002036,0.36532676343512177,-2.234933287494667,-0.4199845239911221,0.09283819628647194,-1
600269.XSHG,1.9198026007560174,-1.2240537604109298,0.3796739112459393,2.095160788164526,-0.37221375859281614,1.6288434631124047,0.4705599178656442,0.8135052589066404,-1.0606318452953862,-0.2596702418936315,-0.7186759204817862,0.1093957843351681,-0.5550144377275181,-1.0130673926506144,-1.0495984746649918,-0.08180891214257793,-0.6135434351071778,0.727809615603671,0.4309414251659562,-0.32722264086547415,-0.44015337527380066,-0.43783358427918845,-0.9129031526442085,0.0923076923076922,-1
000718.XSHE,1.7383480014476946,0.0015787576373094295,0.5492135569889793,0.9082028072446029,-0.0698478758373712,2.1826345755576164,2.3370062411195005,-0.959595701620303,1.3936105033381105,1.5058058460718229,1.6920630135044146,1.4193887867331345,2.8257258360448847,0.8060983318403278,2.2190432737393126,3.724404482339784,3.4273140108901865,1.316554674082938,0.2989665314462594,1.2716051951540543,0.6584108422865297,-0.7252796320845017,0.19797531144252586,0.09223300970873782,-1
000002.XSHE,0.8329530567322391,0.7757929925631024,0.9147961989116117,0.9132706072301829,-0.3549445206382151,1.671981554629929,0.838844511839026,-1.5348728632296924,1.670010510926631,1.481666653609828,1.9280925860384464,-0.563842563309071,1.0751976568624146,0.5134697789946875,1.897168346289334,1.439932197312978,2.40863968835711,1.188332238127606,0.7103753257610652,3.127529933843779,1.0116246734215069,-0.4917573534023031,0.5364410970325506,0.09153318077803196,-1
600236.XSHG,0.14201550284866138,0.9975449983458061,0.957242684514288,0.5009548634239721,1.1307498782563914,1.1239359389107932,0.04844416789305502,-0.13774171585257436,0.37755760939383626,1.5051418802066696,2.4070933476508283,2.178630416948349,-0.885949880186795,0.23888875262857984,1.7353084603895077,-0.0007553906896244608,-0.4757671279067779,-0.017565982310464662,0.34472673496758294,1.705524746297174,2.939640892739622,0.7764089129899256,0.21566218154110528,0.09090909090909105,-1
600098.XSHG,0.3552874744613717,0.6613404387414845,2.1339457372991504,0.908398260384515,0.11443495163297608,0.4732428012503076,0.6659491165231259,-0.9617651426210542,1.3037293421328513,1.5048748541275727,1.9499388018183668,0.28179736188741356,-0.769095029615786,0.9196440804801495,0.6951379361514487,0.25217723094674444,0.6679542900956895,0.5167584539039677,0.8344053787197477,2.175995657285686,0.3616806019279878,-0.1484321225642534,0.8261639071938868,0.08791208791208782,-1
600380.XSHG,-0.5235400196919268,0.16454748618816403,0.12788461814762514,-0.9202955154839543,-0.06781865174429783,0.5319272412025898,-1.1368883219541743,0.3849367182302048,-0.5942231168175397,0.04587621788392096,-0.2323587974913467,-1.655486624453404,-1.6327304688240798,-0.7119973534455626,-0.6540236267575078,-1.1449009886537578,-0.04379943678225332,-0.4751276573581516,0.44894308115841636,-0.6942035991424368,-0.46705963021828684,0.627062229041174,-0.024748478716433358,0.08730158730158744,-1
601866.XSHG,-0.34547113027062354,-0.6909759692827806,1.2082122947177543,-0.24460723215627092,2.0399134446876164,-0.3102335985164549,-1.2048617810537325,0.5267742566561983,0.48193993222195775,-0.2679627360778888,-0.7046534315695145,1.2721608602731516,-0.11805294432646983,-0.007596197927606543,-1.089640512972905,-1.3050993944547709,-0.24603991168624648,0.21278737811470813,-1.1789354700218546,-0.2689884333378865,-0.6356711630445104,-0.19141567073884205,0.24974280190374232,0.08730158730158744,-1
600125.XSHG,0.06518075618430201,-1.0100697630630395,-0.6379778888665996,-1.3839075679611288,0.41998011556558384,0.11488432435406329,0.5109137138633383,-0.9686698795845846,1.7988559962676087,-0.258344325182415,-1.0356599595828653,-0.06776697901925373,-0.3449747615979765,-0.4375926379693725,-1.3169577139882263,-0.3832725076138687,-0.3271883114264821,-0.5105559548594777,-2.655590911521449,-0.49118211789012006,-1.271757236012552,-1.612056928522696,-0.9367004398163964,0.08730158730158744,-1
600808.XSHG,-0.421958780179308,-1.091773381035264,0.5707990482059292,2.043247984308128,0.4054691401371172,-0.5756421539435246,-0.4468421770490066,0.8504869080326242,-0.5341815354223357,-0.22308323586683754,-0.6520177909689999,0.21206825865927204,0.5355868210058359,-0.33414449763484183,0.03281943125369151,-0.14487018065266508,0.8712407440386626,0.9048652730603927,0.2885289778256113,-0.16973788753180635,1.3427578744701734,-0.26858185787435324,1.2630480719106922,0.0859375,-1
601588.XSHG,0.7287116577296979,0.010124037712668241,2.269807606222061,-0.16835825285912331,2.227122593344795,1.8017816100870034,0.26159380859909376,-0.6835069502829584,2.0591434651777782,1.5049884237908473,1.7622458344235918,1.6066525354192702,0.15258692431536242,0.158876916428173,1.6267637754191573,0.14093034025187184,0.6346850382995989,0.3583572591949761,1.3041485619483493,1.6972595668614887,2.0228502481118213,-0.5069476590527319,0.3341189265811343,0.0855855855855856,-1
000088.XSHE,1.9200554749306904,-0.567786191227183,-0.006474446134276297,-0.24660163556253634,-0.7030429407143596,1.33752549339496,1.4929767835729875,0.6000795859415117,1.9267157269985862,-0.2584628963431472,-0.5345289276843589,-0.1967963458312011,-0.6285310746799997,-1.2296458799778507,-1.4155731143390349,-0.032406667124810794,-2.1974122168468617,0.39514978461054856,-2.6555633569165455,-0.8965297322589997,-1.1863909749022075,-0.025009206957210775,-1.1523644792487873,0.08547008547008561,-1
601318.XSHG,-2.535900579696688,1.3908314975742833,-0.6773893072768071,-0.20412960424257112,-2.20886317601704,-2.388038772805816,-0.7922914491091153,0.49489692181790523,-0.34194082647589735,-0.2880966686605222,-0.11432496098349633,-0.7190473183034682,-1.5078371588497508,0.033967004496976885,0.19350509000839247,-1.584201372405956,-0.9439097152330637,-1.4450201600554433,-0.01685411522336875,0.3100683225043528,-0.2541457369637466,1.7131396057747597,0.2713382490209156,0.08498583569405094,-1
600418.XSHG,-0.7213103881174774,-0.7646215706278505,1.1833252017299611,-0.4206223356661876,0.047602091411305586,-0.680491718315925,-0.8012059091967867,0.46601984991780365,-0.9245137755985625,2.1155776828210695,-0.3501101285966438,-0.042271649837965455,-0.8521587632610856,1.1185614861078785,-0.5133407577782937,-0.8190123643271384,-0.568869319316461,-0.14236337217543857,-0.08899480992944168,-0.7007043879665645,-0.5124150391481257,-0.3264944206924171,1.5116476570062374,0.08366533864541847,-1
600780.XSHG,-0.25128017498964633,0.08122325926532697,1.2071706056781053,1.3736502744621857,-0.7614321170879512,0.27160467605130745,-0.20778335155520217,-0.3429284373027903,0.17503431478080678,1.507419364066438,2.0873098751117274,0.8377379251927074,-1.3269347157020583,1.0956380829735886,0.929416429323638,-0.19892246951763912,-0.4881625370075351,-0.1974201070352498,-0.14930945483236527,1.354486637397982,0.15908648235197562,-0.18365890544289806,0.5573436711988939,0.0836012861736335,-1
600006.XSHG,-0.5690147100267978,-0.5780639878808898,0.5865249374782158,-0.42045528161193124,-2.0738204714685304,-0.5472489358989125,-0.47264943339835225,0.5170806304832639,-0.17682945930693034,-0.8605283957905556,-0.3114271014218785,-0.9481799421555009,-0.6326929007946085,0.15554955227473619,-0.42668282535771535,-0.5424800039419637,-0.27095511539895173,0.14106792693704612,-0.34579683400489597,-0.7582243697066227,-0.8378632943552471,-0.1240132802731763,1.277574919512326,0.08235294117647052,-1
600597.XSHG,-1.2478863511733913,-0.17976799461232396,0.11617820252820477,0.14945664854478108,0.011538765627749364,-0.6919958710064854,-2.188756168257672,0.22432899743935075,-0.7808011961259563,-0.22690833854124373,-0.5483959346273386,-0.39408853368629365,-1.889690600355341,1.345129785506498,-0.2316894908827721,-1.789706268211438,-0.8141163301737173,-0.9821999970664689,-0.4843720637110022,-1.229731664989039,-0.4888507728836114,-0.08549597125382111,1.0015795244339227,0.08042895442359255,-1
600643.XSHG,-1.9651476647163288,0.23345162425044333,-1.0944571530078213,-1.1242523144927774,0.2912120144910046,-1.6611710581056875,-0.4467155106135315,-0.4723564233879563,-0.43883159846394615,-0.21573270368440994,-0.42296640940160896,2.022651660386438,-1.5475654224921287,0.17930947448732598,-1.676693452365436,-1.4165606621033509,-0.5360394548128655,-1.4769204601402317,0.12918102002726622,-1.105059343224766,-0.9963224352797295,-0.023816148667846013,-0.35086996245145613,0.07731958762886593,-1
600548.XSHG,1.919762139107719,-1.0207725191417483,0.2486038810735839,-0.2463076073934381,-0.7822313835747066,1.5141590674942267,-0.6980565027938682,0.06457617709290465,-1.2346765912363873,-0.25986342568197585,-0.97889426859467,0.020923243072131184,-0.6172197206835439,-1.3057256313409464,-0.6498478599600128,-0.653531802103408,-0.8152565153294871,-0.2271316250950382,0.1873864546666115,-1.3009802896208862,1.5174097400610027,-0.8320280063583037,-1.1126949267717705,0.07575757575757569,-1
